AppliesTo,ProvisioningStatus,FriendlyName,ServicePlanId,ServicePlanName,isEnabled,isAssignable,,,,,,
User,Success,Azure Active Directory Basic for EDU,1d0f309f-fdf9-4b2a-9ae7-9c48b91f1426,AAD_BASIC_EDU,FALSE,TRUE,,,,,,
User,Success,Azure Active Directory Premium P1,41781fb2-bc02-4b7c-bd55-b576c07bb09d,AAD_PREMIUM,TRUE,TRUE,,,,,,
User,Success,Azure Active Directory Premium P2,eec0eb4f-6444-4f95-aba0-50c24d67f998,AAD_PREMIUM_P2,TRUE,TRUE,,,,,,
User,Success,Office 365 Cloud App Security,8c098270-9dd4-4350-9b30-ba4703f3b36b,ADALLOM_S_O365,FALSE,TRUE,,,,,,
User,Success,Microsoft Cloud App Security,2e2ddb96-6af9-4b1d-a3f0-d6ecfd22edb2,ADALLOM_S_STANDALONE,FALSE,TRUE,,,,,,
User,Success,Microsoft Defender for Identity,14ab5db5-e6c4-4b20-b4bc-13e36fd2227f,ATA,FALSE,TRUE,,,,,,
Company,Success,check,f20fedf3-f3c3-43c3-8267-2bfdd51c0939,ATP_ENTERPRISE,TRUE,FALSE,,,,,,
User,Success,Power BI Pro,70d33638-9c74-4d01-bfd3-562de28bd4ba,BI_AZURE_P2,TRUE,TRUE,,,,,,
User,Success,To-Do,3fb82609-8c27-4f7b-bd51-30634711ee67,BPOS_S_TODO_3,TRUE,TRUE,,,,,,
User,Success,Common Data Service for Teams,afa73018-811e-46e9-988f-f75d2b1b8430,CDS_O365_P3,TRUE,TRUE,,,,,,
User,Success,RETIRED - Microsoft Communications Compliance,41fcdd7d-4733-4863-9cf4-c65b83ce2df4,COMMUNICATIONS_COMPLIANCE,FALSE,TRUE,,,,,,
User,Success,Microsoft Communications DLP,6dc145d6-95dd-4191-b9c3-185575ee6f6b,COMMUNICATIONS_DLP,FALSE,TRUE,,,,,,
Company,Success,,d9fa6af4-e046-4c89-9226-729a0786685d,Content_Explorer,TRUE,FALSE,,,,,,
Company,Success,,2b815d45-56e4-4e3a-b65c-66cb9175b560,ContentExplorer_Standard,TRUE,FALSE,,,,,,
User,Success,Microsoft Customer Key,6db1f1db-2b46-403f-be40-e39395f08dbb,CUSTOMER_KEY,FALSE,TRUE,,,,,,
User,Success,Microsoft Data Investigations,46129a58-a698-46f0-aa5b-17f6586297d9,DATA_INVESTIGATIONS,FALSE,TRUE,,,,,,
User,Success,Microsoft StaffHub,8c7d2df8-86f0-4902-b2ed-a0458298f3b3,Deskless,TRUE,TRUE,,,,,,
User,Success,Common Data Service,28b0fa46-c39a-4188-89e2-58e979a6b014,DYN365_CDS_O365_P3,TRUE,TRUE,,,,,,
User,Success,Education Analytics,a9b86446-fa4e-498f-a92a-41b447e03337,EducationAnalyticsP1,FALSE,TRUE,,,,,,
User,Success,Office 365 Advanced eDiscovery,4de31727-a228-4ec3-a5bf-8e45b5ca48cc,EQUIVIO_ANALYTICS,FALSE,TRUE,,,,,,
User,Success,Microsoft Excel Advanced Analytics,531ee2f8-b1cb-453b-9c21-d2180d014ca5,EXCEL_PREMIUM,TRUE,TRUE,,,,,,
User,Success,Microsoft MyAnalytics (Full),34c0d7a0-a70f-4668-9238-47f9fc208882,EXCHANGE_ANALYTICS,FALSE,TRUE,,,,,,
User,Success,Exchange Online (Plan 2),efb87545-963c-4e0d-99df-69c6916d9eb0,EXCHANGE_S_ENTERPRISE,TRUE,TRUE,,,,,,
User,Success,Power Automate for Office 365,07699545-9485-468e-95b6-2fca3738be01,FLOW_O365_P3,TRUE,TRUE,,,,,,
User,Success,Microsoft Information Governance,e26c2fcc-ab91-4a61-b35c-03cdc8dddf66,INFO_GOVERNANCE,FALSE,TRUE,,,,,,
User,Success,Information Barriers,c4801e8a-cb58-4c35-aca6-f2dcc106f287,INFORMATION_BARRIERS,FALSE,TRUE,,,,,,
User,Success,Microsoft Insider Risk Management,d587c7a3-bda9-4f99-8776-9bcf59c84f75,INSIDER_RISK,FALSE,TRUE,,,,,,
User,Success,RETIRED - Microsoft Insider Risk Management,9d0c4ee5-e4a1-4625-ab39-d82b619b1a34,INSIDER_RISK_MANAGEMENT,FALSE,TRUE,,,,,,
User,Success,Microsoft Intune,c1ec4a95-1f05-45b3-a911-aa3fa01094f5,INTUNE_A,TRUE,TRUE,,,,,,
User,Success,Intune for Education,da24caf9-af8e-485c-b7c8-e73336da2693,INTUNE_EDU,FALSE,TRUE,,,,,,
Company,Success,,882e1d05-acd1-4ccb-8708-6ee03664b117,INTUNE_O365,TRUE,FALSE,,,,,,
User,Success,MicrosoftKaizala,0898bdbb-73b0-471a-81e5-20f1fe4dd66e,KAIZALA_STANDALONE,TRUE,TRUE,,,,,,
User,Success,Customer Lockbox,9f431833-0334-42de-a7dc-70aa40db46db,LOCKBOX_ENTERPRISE,FALSE,TRUE,,,,,,
User,Success,Microsoft 365 Advanced Auditing,2f442157-a11c-46b9-ae5b-6e39ff4e5849,M365_ADVANCED_AUDITING,FALSE,TRUE,,,,,,
User,Success,Microsoft 365 Phone System,4828c8ec-dc2e-4779-b502-87ac9ce28ab7,MCOEV,TRUE,TRUE,,,,,,
